price_type,2022-08-24,2022-08-25,2022-08-26,2022-08-29,2022-08-30,2022-08-31,2022-09-01
High,277.2300109863281,279.0199890136719,280.3399963378906,267.3999938964844,267.04998779296875,267.1099853515625,260.8900146484375
Low,275.1099853515625,274.5199890136719,267.9800109863281,263.8500061035156,260.6600036621094,261.3299865722656,255.41000366210935
Open,275.4100036621094,277.3299865722656,279.0799865722656,265.8500061035156,266.6700134277344,265.3900146484375,258.8699951171875
Close,275.7900085449219,278.8500061035156,268.0899963378906,265.2300109863281,262.9700012207031,261.4700012207031,260.3999938964844
